Name	Item	Piece	RI
a	1	1	1.51785
a	1	2	1.51788
a	1	3	1.51783
a	1	4	1.51782
a	1	5	1.51788
a	2	1	1.51815
a	2	2	1.51815
a	2	3	1.51813
a	2	4	1.51815
a	2	5	1.51811
a	3	1	1.51664
a	3	2	1.51668
a	3	3	1.51664
a	3	4	1.51667
a	3	5	1.51659
a	4	1	1.51675
a	4	2	1.51667
a	4	3	1.51669
a	4	4	1.51676
a	4	5	1.51682
a	5	1	1.51732
a	5	2	1.51722
a	5	3	1.5173
a	5	4	1.51724
a	5	5	1.51723
a	6	1	1.5219
a	6	2	1.52191
a	6	3	1.52192
a	6	4	1.52189
a	6	5	1.52191
a	7	1	1.52011
a	7	2	1.52015
a	7	3	1.52014
a	7	4	1.52018
a	7	5	1.52019
a	8	1	1.52153
a	8	2	1.52159
a	8	3	1.52147
a	8	4	1.52149
a	8	5	1.52154
a	9	1	1.52143
a	9	2	1.52147
a	9	3	1.52143
a	9	4	1.52138
a	9	5	1.52148
a	10	1	1.5215
a	10	2	1.52152
a	10	3	1.52156
a	10	4	1.52154
a	10	5	1.52152
a	11	1	1.52162
a	11	2	1.52164
a	11	3	1.52155
a	11	4	1.52149
a	11	5	1.52164
a	12	1	1.5214
a	12	2	1.52148
a	12	3	1.52145
a	12	4	1.52146
a	12	5	1.5215
a	13	1	1.52154
a	13	2	1.52068
a	13	3	1.5214
a	13	4	1.52155
a	13	5	1.52148
a	14	1	1.52085
a	14	2	1.52089
a	14	3	1.52064
a	14	4	1.52084
a	14	5	1.52077
a	15	1	1.51688
a	15	2	1.51698
a	15	3	1.51692
a	15	4	1.51685
a	15	5	1.5169
a	16	1	1.51747
a	16	2	1.51753
a	16	3	1.51749
a	16	4	1.51751
a	16	5	1.51743
a	17	1	1.51737
a	17	2	1.51744
a	17	3	1.51744
a	17	4	1.5174
a	17	5	1.51737
a	18	1	1.52178
a	18	2	1.52177
a	18	3	1.52176
a	18	4	1.52178
a	18	5	1.52168
a	19	1	1.52062
a	19	2	1.52067
a	19	3	1.52071
a	19	4	1.52054
a	19	5	1.52056
a	20	1	1.51827
a	20	2	1.51826
a	20	3	1.51817
a	20	4	1.51827
a	20	5	1.51824
b	21	1	1.51846
b	21	2	1.51842
b	21	3	1.51841
b	21	4	1.51844
b	21	5	1.51841
b	22	1	1.51585
b	22	2	1.5159
b	22	3	1.51597
b	22	4	1.51589
b	22	5	1.516
b	23	1	1.51933
b	23	2	1.51932
b	23	3	1.5193
b	23	4	1.51925
b	23	5	1.5193
b	24	1	1.51871
b	24	2	1.51874
b	24	3	1.51875
b	24	4	1.51894
b	24	5	1.51889
b	25	1	1.51784
b	25	2	1.51783
b	25	3	1.51783
b	25	4	1.51789
b	25	5	1.51789
b	26	1	1.51681
b	26	2	1.51678
b	26	3	1.51669
b	26	4	1.51672
b	26	5	1.51687
b	27	1	1.51512
b	27	2	1.51517
b	27	3	1.51522
b	27	4	1.51515
b	27	5	1.51525
b	28	1	1.51605
b	28	2	1.51601
b	28	3	1.51604
